Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Angola,Potatoes,1994,90000,1010,25.5,24.04
Angola,Potatoes,1995,76738,1010,336,24.56
Angola,Potatoes,1996,70000,1010,40,24.11
Angola,Potatoes,1997,68571,1010,40,24.06
Angola,Potatoes,1998,62724,1010,40,24.96
Angola,Potatoes,1999,54597,1010,40,24.37
Angola,Potatoes,2000,29885,1010,40,24.41
Angola,Potatoes,2001,42552,1010,40,24.43
Angola,Potatoes,2002,42754,1010,40,24.79
Angola,Potatoes,2004,20150,1010,40,24.22
Angola,Potatoes,2005,23646,1010,40,24.41
Angola,Potatoes,2006,52148,1010,40,24.14
Angola,Potatoes,2007,62138,1010,40,24.24
Angola,Potatoes,2008,85085,1010,40,24.27
Angola,Potatoes,2009,86509,1010,40,24.33
Angola,Potatoes,2010,87425,1010,40,24.44
Angola,Potatoes,2011,81366,1010,40,24.15
Angola,Potatoes,2012,69381,1010,40,24.24
Angola,Potatoes,2013,63303,1010,40,24.55
Argentina,Potatoes,1990,202747,591,26156,17.46
Argentina,Potatoes,1990,202747,591,26156,17.67
Argentina,Potatoes,1991,205692,591,26156,17.64
Argentina,Potatoes,1991,205692,591,26156,17.86
Argentina,Potatoes,1992,199039,591,26156,17.09
Argentina,Potatoes,1992,199039,591,26156,17.51
Argentina,Potatoes,1993,210314,591,26156,17.32
Argentina,Potatoes,1993,210314,591,26156,17.53
Argentina,Potatoes,1994,230166,591,30195,18.17
Argentina,Potatoes,1994,230166,591,30195,18.31
Argentina,Potatoes,1995,274272,591,37842,17.74
Argentina,Potatoes,1995,274272,591,37842,17.62
Argentina,Potatoes,1996,228877,591,54595,17.64
Argentina,Potatoes,1996,228877,591,54595,17.97
Argentina,Potatoes,1997,268502,591,77691,18.29
Argentina,Potatoes,1997,268502,591,77691,18.54
Argentina,Potatoes,1998,293744,591,62397,17.23
Argentina,Potatoes,1998,293744,591,62397,17.52
Argentina,Potatoes,1999,238938,591,62831.39,17.15
Argentina,Potatoes,1999,238938,591,62831.39,17.71
Argentina,Potatoes,2000,277566,591,63265.78,16.98
Argentina,Potatoes,2000,277566,591,63265.78,17.66
Argentina,Potatoes,2001,283768,591,63700.17,17.71
Argentina,Potatoes,2001,283768,591,63700.17,18.42
Argentina,Potatoes,2002,251347,591,64134.56,17.58
Argentina,Potatoes,2002,251347,591,64134.56,18.07
Argentina,Potatoes,2004,288717,591,65003.34,17.67
Argentina,Potatoes,2004,288717,591,65003.34,18.11
Argentina,Potatoes,2005,283917,591,65437.73,17.32
Argentina,Potatoes,2005,283917,591,65437.73,17.83
Argentina,Potatoes,2006,285828,591,65872.12,18.1
Argentina,Potatoes,2006,285828,591,65872.12,18.35
Argentina,Potatoes,2007,286765,591,81582.64,16.71
Argentina,Potatoes,2007,286765,591,81582.64,17.14
Argentina,Potatoes,2008,279412,591,87149.01,17.71
Argentina,Potatoes,2008,279412,591,87149.01,18.39
Argentina,Potatoes,2009,284439,591,61586.56,18.16
Argentina,Potatoes,2009,284439,591,61586.56,18.09
Argentina,Potatoes,2010,289849,591,105915.04,17.33
Argentina,Potatoes,2010,289849,591,105915.04,17.84
Argentina,Potatoes,2011,286657,591,100424.62,17.58
Argentina,Potatoes,2011,286657,591,100424.62,17.93
Argentina,Potatoes,2012,287821,591,136185.08,18.18
Argentina,Potatoes,2012,287821,591,136185.08,18.43
Argentina,Potatoes,2013,288984,591,171945.54,16.45
Argentina,Potatoes,2013,288984,591,171945.54,16.88
Armenia,Potatoes,1992,111301,562,8,7.44
Armenia,Potatoes,1993,134416,562,8,7.69
Armenia,Potatoes,1994,131195,562,23,8.84
Armenia,Potatoes,1995,131196,562,23.9,9.76
Armenia,Potatoes,1996,129626,562,32,9.55
Armenia,Potatoes,1997,109362,562,41.46,9.1
Armenia,Potatoes,1998,134409,562,50.92,10.28
Armenia,Potatoes,1999,130618,562,60.38,10.11
Armenia,Potatoes,2000,87349,562,69.85,9.68
Armenia,Potatoes,2001,114619,562,79.31,10.18
Armenia,Potatoes,2002,122814,562,88.77,9.41
Armenia,Potatoes,2004,161509,562,204.77,9.55
Armenia,Potatoes,2005,164459,562,220.51,9.58
Armenia,Potatoes,2006,163418,562,227.55,9.89
Armenia,Potatoes,2007,184719,562,241.71,9.44
Armenia,Potatoes,2008,189096,562,218.2,9.51
Armenia,Potatoes,2009,185496,562,198.36,9.67
Armenia,Potatoes,2010,170146,562,278.72,11.31
Armenia,Potatoes,2011,194426,562,278.72,8.93
Armenia,Potatoes,2012,207151,562,278.72,10.2
Armenia,Potatoes,2013,215290,562,278.72,11.08
Australia,Potatoes,1990,289832,534,17866,16.8
Australia,Potatoes,1990,289832,534,17866,20.06
Australia,Potatoes,1990,289832,534,17866,12.11
Australia,Potatoes,1990,289832,534,17866,14.16
Australia,Potatoes,1990,289832,534,17866,18.05
Australia,Potatoes,1990,289832,534,17866,17.47
Australia,Potatoes,1991,285359,534,17866,16.78
Australia,Potatoes,1991,285359,534,17866,20.29
Australia,Potatoes,1991,285359,534,17866,12.22
Australia,Potatoes,1991,285359,534,17866,13.77
Australia,Potatoes,1991,285359,534,17866,18.73
Australia,Potatoes,1991,285359,534,17866,17.85
Australia,Potatoes,1992,289220,534,22234,15.78
Australia,Potatoes,1992,289220,534,22234,19.79
Australia,Potatoes,1992,289220,534,22234,11.21
Australia,Potatoes,1992,289220,534,22234,13.31
Australia,Potatoes,1992,289220,534,22234,18.45
Australia,Potatoes,1992,289220,534,22234,16.89
Australia,Potatoes,1993,290981,534,23899,16.71
Australia,Potatoes,1993,290981,534,23899,20.19
Australia,Potatoes,1993,290981,534,23899,11.84
Australia,Potatoes,1993,290981,534,23899,13.81
Australia,Potatoes,1993,290981,534,23899,18.03
Australia,Potatoes,1993,290981,534,23899,17.42
Australia,Potatoes,1994,294270,534,21057,16.43
Australia,Potatoes,1994,294270,534,21057,19.59
Australia,Potatoes,1994,294270,534,21057,11.6
Australia,Potatoes,1994,294270,534,21057,13.52
Australia,Potatoes,1994,294270,534,21057,19.17
Australia,Potatoes,1994,294270,534,21057,17.36
Australia,Potatoes,1995,298183,534,25598,16.14
Australia,Potatoes,1995,298183,534,25598,20.12
Australia,Potatoes,1995,298183,534,25598,11.39
Australia,Potatoes,1995,298183,534,25598,13.14
Australia,Potatoes,1995,298183,534,25598,18.88
Australia,Potatoes,1995,298183,534,25598,16.95
Australia,Potatoes,1996,312853,534,31185,16.12
Australia,Potatoes,1996,312853,534,31185,20.06
Australia,Potatoes,1996,312853,534,31185,11.29
Australia,Potatoes,1996,312853,534,31185,13.05
Australia,Potatoes,1996,312853,534,31185,19.13
Australia,Potatoes,1996,312853,534,31185,17.05
Australia,Potatoes,1997,313056,534,34091,16.48
Australia,Potatoes,1997,313056,534,34091,20.16
Australia,Potatoes,1997,313056,534,34091,12.13
Australia,Potatoes,1997,313056,534,34091,13.93
Australia,Potatoes,1997,313056,534,34091,18.94
Australia,Potatoes,1997,313056,534,34091,17.51
Australia,Potatoes,1998,322292,534,37215,16.28
Australia,Potatoes,1998,322292,534,37215,20.62
Australia,Potatoes,1998,322292,534,37215,12.46
Australia,Potatoes,1998,322292,534,37215,13.61
Australia,Potatoes,1998,322292,534,37215,18.9
Australia,Potatoes,1998,322292,534,37215,18.05
Australia,Potatoes,1999,321265,534,34200,16.77
Australia,Potatoes,1999,321265,534,34200,19.75
Australia,Potatoes,1999,321265,534,34200,12.1
Australia,Potatoes,1999,321265,534,34200,14.2
Australia,Potatoes,1999,321265,534,34200,19.28
Australia,Potatoes,1999,321265,534,34200,17.55
Australia,Potatoes,2000,284527,534,33475,17.08
Australia,Potatoes,2000,284527,534,33475,19.89
Australia,Potatoes,2000,284527,534,33475,12.09
Australia,Potatoes,2000,284527,534,33475,14.32
Australia,Potatoes,2000,284527,534,33475,19.07
Australia,Potatoes,2000,284527,534,33475,17.57
Australia,Potatoes,2001,328633,534,32710,16.63
Australia,Potatoes,2001,328633,534,32710,20.21
Australia,Potatoes,2001,328633,534,32710,12.29
Australia,Potatoes,2001,328633,534,32710,14.18
Australia,Potatoes,2001,328633,534,32710,18.39
Australia,Potatoes,2001,328633,534,32710,17.85
Australia,Potatoes,2002,351358,534,26651,16.63
Australia,Potatoes,2002,351358,534,26651,20.38
Australia,Potatoes,2002,351358,534,26651,12.31
Australia,Potatoes,2002,351358,534,26651,14.08
Australia,Potatoes,2002,351358,534,26651,18.93
Australia,Potatoes,2002,351358,534,26651,17.73
Australia,Potatoes,2004,362787,534,36276,16.64
Australia,Potatoes,2004,362787,534,36276,20.42
Australia,Potatoes,2004,362787,534,36276,12.35
Australia,Potatoes,2004,362787,534,36276,13.74
Australia,Potatoes,2004,362787,534,36276,18.87
Australia,Potatoes,2004,362787,534,36276,17.87
Australia,Potatoes,2005,344117,534,34310,16.93
Australia,Potatoes,2005,344117,534,34310,20.71
Australia,Potatoes,2005,344117,534,34310,12.48
Australia,Potatoes,2005,344117,534,34310,14.38
Australia,Potatoes,2005,344117,534,34310,18.26
Australia,Potatoes,2005,344117,534,34310,18.03
Australia,Potatoes,2006,354317,534,35900,16.75
Australia,Potatoes,2006,354317,534,35900,20.17
Australia,Potatoes,2006,354317,534,35900,12.51
Australia,Potatoes,2006,354317,534,35900,13.99
Australia,Potatoes,2006,354317,534,35900,18.99
Australia,Potatoes,2006,354317,534,35900,17.75
Australia,Potatoes,2007,355463,534,32446.25,17.49
Australia,Potatoes,2007,355463,534,32446.25,20.31
Australia,Potatoes,2007,355463,534,32446.25,12.83
Australia,Potatoes,2007,355463,534,32446.25,14.99
Australia,Potatoes,2007,355463,534,32446.25,18.84
Australia,Potatoes,2007,355463,534,32446.25,18.02
Australia,Potatoes,2008,381224,534,42935.38,16.7
Australia,Potatoes,2008,381224,534,42935.38,19.79
Australia,Potatoes,2008,381224,534,42935.38,12
Australia,Potatoes,2008,381224,534,42935.38,14.11
Australia,Potatoes,2008,381224,534,42935.38,18.78
Australia,Potatoes,2008,381224,534,42935.38,17.32
Australia,Potatoes,2009,361747,534,38065.68,17.39
Australia,Potatoes,2009,361747,534,38065.68,20.65
Australia,Potatoes,2009,361747,534,38065.68,12.87
Australia,Potatoes,2009,361747,534,38065.68,14.65
Australia,Potatoes,2009,361747,534,38065.68,19.01
Australia,Potatoes,2009,361747,534,38065.68,18.18
Australia,Potatoes,2010,351334,534,42169.39,16.72
Australia,Potatoes,2010,351334,534,42169.39,20.33
Australia,Potatoes,2010,351334,534,42169.39,12.37
Australia,Potatoes,2010,351334,534,42169.39,14.23
Australia,Potatoes,2010,351334,534,42169.39,19.09
Australia,Potatoes,2010,351334,534,42169.39,18
Australia,Potatoes,2011,350887,534,47632.99,16.9
Australia,Potatoes,2011,350887,534,47632.99,19.88
Australia,Potatoes,2011,350887,534,47632.99,12.16
Australia,Potatoes,2011,350887,534,47632.99,14.19
Australia,Potatoes,2011,350887,534,47632.99,19.99
Australia,Potatoes,2011,350887,534,47632.99,17.71
Australia,Potatoes,2012,382592,534,48687.88,16.84
Australia,Potatoes,2012,382592,534,48687.88,20.08
Australia,Potatoes,2012,382592,534,48687.88,11.79
Australia,Potatoes,2012,382592,534,48687.88,14.27
Australia,Potatoes,2012,382592,534,48687.88,19.55
Australia,Potatoes,2012,382592,534,48687.88,17.47
Australia,Potatoes,2013,385434,534,45177.18,17.39
Australia,Potatoes,2013,385434,534,45177.18,20.14
Australia,Potatoes,2013,385434,534,45177.18,12.19
Australia,Potatoes,2013,385434,534,45177.18,14.74
Australia,Potatoes,2013,385434,534,45177.18,19.98
Australia,Potatoes,2013,385434,534,45177.18,18.09
Austria,Potatoes,1990,249854,1110,4246,9.23
Austria,Potatoes,1991,236372,1110,4487,8.15
Austria,Potatoes,1992,223470,1110,3897,9.49
Austria,Potatoes,1993,284925,1110,3984,8.48
Austria,Potatoes,1994,199650,1110,3619,9.89
Austria,Potatoes,1995,267949,1110,3402,8.79
Austria,Potatoes,1996,291997,1110,3565,7.4
Austria,Potatoes,1997,288325,1110,3689.6,8.37
Austria,Potatoes,1998,283064,1110,3340.3,9.01
Austria,Potatoes,1999,307044,1110,3418.6,9.17
Austria,Potatoes,2000,292627,1110,3563.2,10.08
Austria,Potatoes,2001,300394,1110,3132.2,8.75
Austria,Potatoes,2002,303832,1110,3079.2,9.62
Austria,Potatoes,2004,316117,1110,3301.7,8.76
Austria,Potatoes,2005,343985,1110,3404,8.6
Austria,Potatoes,2006,298641,1110,3415.7,9.13
Austria,Potatoes,2007,294931,1110,3526.6,10.03
Austria,Potatoes,2008,331993,1110,4246.7,9.96
Austria,Potatoes,2009,324947,1110,3531.8,9.48
Austria,Potatoes,2010,305703,1110,3692.4,8.36
Austria,Potatoes,2011,357127,1110,3441.5,9.42
Austria,Potatoes,2012,305491,1110,3563.3,9.42
Austria,Potatoes,2013,285897,1110,3108.6,10.03
Azerbaijan,Potatoes,1992,82701,447,148.68,10.93
Azerbaijan,Potatoes,1993,78059,447,148.68,10.53
Azerbaijan,Potatoes,1994,82623,447,148.68,11.32
Azerbaijan,Potatoes,1995,97450,447,148.68,12.81
Azerbaijan,Potatoes,1996,101359,447,148.68,11.96
Azerbaijan,Potatoes,1997,82711,447,148.68,11.89
Azerbaijan,Potatoes,1998,95259,447,148.68,12.79
Azerbaijan,Potatoes,1999,95214,447,148.68,12.74
Azerbaijan,Potatoes,2000,89357,447,148.68,12.61
Azerbaijan,Potatoes,2001,109774,447,148.68,12.97
Azerbaijan,Potatoes,2002,121132,447,148.68,12.45
Azerbaijan,Potatoes,2004,141416,447,148.68,12.76
Azerbaijan,Potatoes,2005,153215,447,148.68,12.88
Azerbaijan,Potatoes,2006,149497,447,148.68,12.66
Azerbaijan,Potatoes,2007,154570,447,148.68,12.75
Azerbaijan,Potatoes,2008,156430,447,262.99,12.3
Azerbaijan,Potatoes,2009,149950,447,316.18,12.6
Azerbaijan,Potatoes,2010,144945,447,333.85,13.85
Azerbaijan,Potatoes,2011,143973,447,461.84,11.79
Azerbaijan,Potatoes,2012,146740,447,516.35,13
Azerbaijan,Potatoes,2013,151999,447,489.8,14.12
Bahrain,Potatoes,1990,186667,83,14.05,26.26
Bahrain,Potatoes,1991,206667,83,14.05,25.73
Bahrain,Potatoes,1992,188000,83,14.05,25.09
Bahrain,Potatoes,1993,162857,83,14.05,26.09
Bahrain,Potatoes,1994,147500,83,30.86,26.66
Bahrain,Potatoes,1995,166667,83,12.46,26.18
Bahrain,Potatoes,1996,125000,83,12.16,26.76
Bahrain,Potatoes,1997,160000,83,9.42,26.11
Bahrain,Potatoes,1998,160000,83,11.15,27.54
Bahrain,Potatoes,1999,100000,83,12.5,27.67
Bahrain,Potatoes,2000,103333,83,8.65,26.99
Bahrain,Potatoes,2001,110000,83,9.2,27.36
Bahrain,Potatoes,2002,190000,83,0.91,27.19
Bahrain,Potatoes,2004,180000,83,12.24,27.07
Bahrain,Potatoes,2005,100000,83,12.75,26.89
Bahrain,Potatoes,2006,130000,83,12.12,27.15
Bahrain,Potatoes,2007,255556,83,16.25,27.13
Bahrain,Potatoes,2008,210000,83,10.45,26.96
Bahrain,Potatoes,2009,166667,83,12.59,27.24
Bahrain,Potatoes,2010,155598,83,9.84,28
Bahrain,Potatoes,2011,171162,83,9.14,27.01
Bahrain,Potatoes,2012,177812,83,9.14,27.45
Bahrain,Potatoes,2013,179569,83,9.14,27.86
Bangladesh,Potatoes,1990,91410,2666,1266,25.98
Bangladesh,Potatoes,1990,91410,2666,1266,25.98
Bangladesh,Potatoes,1991,99868,2666,1287,25.85
Bangladesh,Potatoes,1991,99868,2666,1287,25.85
Bangladesh,Potatoes,1992,107931,2666,1453,25.86
Bangladesh,Potatoes,1992,107931,2666,1453,25.86
Bangladesh,Potatoes,1993,106787,2666,1487,25.73
Bangladesh,Potatoes,1993,106787,2666,1487,25.73
Bangladesh,Potatoes,1994,109570,2666,1594.5,25.91
Bangladesh,Potatoes,1994,109570,2666,1594.5,25.91
Bangladesh,Potatoes,1995,111665,2666,1702,26.09
Bangladesh,Potatoes,1995,111665,2666,1702,26.09
Bangladesh,Potatoes,1996,112741,2666,1919,26.15
Bangladesh,Potatoes,1996,112741,2666,1919,26.15
Bangladesh,Potatoes,1997,112551,2666,2035,25.55
Bangladesh,Potatoes,1997,112551,2666,2035,25.55
Bangladesh,Potatoes,1998,113972,2666,2068,26.13
Bangladesh,Potatoes,1998,113972,2666,2068,26.13
Bangladesh,Potatoes,1999,112810,2666,2532,26.31
Bangladesh,Potatoes,1999,112810,2666,2532,26.31
Bangladesh,Potatoes,2000,120591,2666,3170,25.91
Bangladesh,Potatoes,2000,120591,2666,3170,25.91
Bangladesh,Potatoes,2001,129163,2666,3295.78,25.93
Bangladesh,Potatoes,2001,129163,2666,3295.78,25.93
Bangladesh,Potatoes,2002,126010,2666,2954.29,26.1
Bangladesh,Potatoes,2002,126010,2666,2954.29,26.1
Bangladesh,Potatoes,2004,144313,2666,5587.81,26.14
Bangladesh,Potatoes,2004,144313,2666,5587.81,26.14
Bangladesh,Potatoes,2005,148805,2666,7605.01,26.19
Bangladesh,Potatoes,2005,148805,2666,7605.01,26.19
Bangladesh,Potatoes,2006,143848,2666,9074.43,26.44
Bangladesh,Potatoes,2006,143848,2666,9074.43,26.44
Bangladesh,Potatoes,2007,149768,2666,10962.31,25.95
Bangladesh,Potatoes,2007,149768,2666,10962.31,25.95
Bangladesh,Potatoes,2008,165373,2666,12936.5,26
Bangladesh,Potatoes,2008,165373,2666,12936.5,26
Bangladesh,Potatoes,2009,133367,2666,13790.09,26.54
Bangladesh,Potatoes,2009,133367,2666,13790.09,26.54
Bangladesh,Potatoes,2010,182299,2666,13283.72,26.65
Bangladesh,Potatoes,2010,182299,2666,13283.72,26.65
Bangladesh,Potatoes,2011,180931,2666,14798.28,25.8
Bangladesh,Potatoes,2011,180931,2666,14798.28,25.8
Bangladesh,Potatoes,2012,190627,2666,13289.18,26.28
Bangladesh,Potatoes,2012,190627,2666,13289.18,26.28
Bangladesh,Potatoes,2013,193790,2666,15330.16,26.59
Bangladesh,Potatoes,2013,193790,2666,15330.16,26.59
Belarus,Potatoes,1992,115326,618,8306.31,6.74
Belarus,Potatoes,1993,155463,618,8306.31,5.61
Belarus,Potatoes,1994,118235,618,8306.31,6.26
Belarus,Potatoes,1995,131092,618,8306.31,6.68
Belarus,Potatoes,1996,151328,618,8306.31,5.32
Belarus,Potatoes,1997,99173,618,8306.31,5.98
Belarus,Potatoes,1998,108971,618,8306.31,6.11
Belarus,Potatoes,1999,113330,618,8306.31,7.38
Belarus,Potatoes,2000,131888,618,8306.31,7.52
Belarus,Potatoes,2001,122132,618,8306.31,6.71
Belarus,Potatoes,2002,134922,618,8306.31,7.34
Belarus,Potatoes,2004,195459,618,8306.31,6.49
Belarus,Potatoes,2005,177299,618,8306.31,6.53
Belarus,Potatoes,2006,191956,618,8306.31,6.6
Belarus,Potatoes,2007,211948,618,8306.31,7.51
Belarus,Potatoes,2008,220735,618,8306.31,7.75
Belarus,Potatoes,2009,186040,618,8306.31,6.75
Belarus,Potatoes,2010,213518,618,8306.31,6.71
Belarus,Potatoes,2011,209564,618,8306.31,7.29
Belarus,Potatoes,2012,208131,618,9578.67,6.33
Belarus,Potatoes,2013,193536,618,9163.51,7.83
Belgium,Potatoes,2000,444058,847,9560.49,11.37
Belgium,Potatoes,2001,412267,847,8529.07,10.94
Belgium,Potatoes,2002,471475,847,9204,11.44
Belgium,Potatoes,2004,483955,847,9186,10.94
Belgium,Potatoes,2005,428135,847,9776,11.16
Belgium,Potatoes,2006,385452,847,8244.02,11.48
Belgium,Potatoes,2007,469491,847,6712.05,11.52
Belgium,Potatoes,2008,460711,847,6516.47,10.9
Belgium,Potatoes,2009,447083,847,5496.04,11
Belgium,Potatoes,2010,422676,847,4644.53,9.74
Belgium,Potatoes,2011,501412,847,5740.44,11.69
Belgium,Potatoes,2012,454233,847,6139.3,10.68
Belgium,Potatoes,2013,454642,847,5905.6,10.36
Brazil,Potatoes,1990,141084,1761,49695,21.88
Brazil,Potatoes,1990,141084,1761,49695,20.29
Brazil,Potatoes,1990,141084,1761,49695,17.77
Brazil,Potatoes,1990,141084,1761,49695,17.77
Brazil,Potatoes,1990,141084,1761,49695,27.65
Brazil,Potatoes,1990,141084,1761,49695,20.29
Brazil,Potatoes,1990,141084,1761,49695,27.07
Brazil,Potatoes,1990,141084,1761,49695,18.47
Brazil,Potatoes,1990,141084,1761,49695,25.76
Brazil,Potatoes,1990,141084,1761,49695,24.64
Brazil,Potatoes,1990,141084,1761,49695,25.29
Brazil,Potatoes,1991,140264,1761,58349.44,21.43
Brazil,Potatoes,1991,140264,1761,58349.44,20.13
Brazil,Potatoes,1991,140264,1761,58349.44,17.95
Brazil,Potatoes,1991,140264,1761,58349.44,17.95
Brazil,Potatoes,1991,140264,1761,58349.44,27.34
Brazil,Potatoes,1991,140264,1761,58349.44,20.13
Brazil,Potatoes,1991,140264,1761,58349.44,27.21
Brazil,Potatoes,1991,140264,1761,58349.44,19.11
Brazil,Potatoes,1991,140264,1761,58349.44,25.57
Brazil,Potatoes,1991,140264,1761,58349.44,24.25
Brazil,Potatoes,1991,140264,1761,58349.44,25.06
Brazil,Potatoes,1992,140432,1761,67003.89,21.35
Brazil,Potatoes,1992,140432,1761,67003.89,20.21
Brazil,Potatoes,1992,140432,1761,67003.89,17.8
Brazil,Potatoes,1992,140432,1761,67003.89,17.8
Brazil,Potatoes,1992,140432,1761,67003.89,27.58
Brazil,Potatoes,1992,140432,1761,67003.89,20.21
Brazil,Potatoes,1992,140432,1761,67003.89,27.42
Brazil,Potatoes,1992,140432,1761,67003.89,18.72
Brazil,Potatoes,1992,140432,1761,67003.89,25.61
Brazil,Potatoes,1992,140432,1761,67003.89,24.24
Brazil,Potatoes,1992,140432,1761,67003.89,24.97
Brazil,Potatoes,1993,146090,1761,75658.33,21.94
Brazil,Potatoes,1993,146090,1761,75658.33,20.49
Brazil,Potatoes,1993,146090,1761,75658.33,17.93
Brazil,Potatoes,1993,146090,1761,75658.33,17.93
Brazil,Potatoes,1993,146090,1761,75658.33,28.18
Brazil,Potatoes,1993,146090,1761,75658.33,20.49
Brazil,Potatoes,1993,146090,1761,75658.33,26.89
Brazil,Potatoes,1993,146090,1761,75658.33,18.69
Brazil,Potatoes,1993,146090,1761,75658.33,26.06
Brazil,Potatoes,1993,146090,1761,75658.33,24.65
Brazil,Potatoes,1993,146090,1761,75658.33,25.41
Brazil,Potatoes,1994,144802,1761,84312.78,21.91
Brazil,Potatoes,1994,144802,1761,84312.78,20.77
Brazil,Potatoes,1994,144802,1761,84312.78,18.42
Brazil,Potatoes,1994,144802,1761,84312.78,18.42
Brazil,Potatoes,1994,144802,1761,84312.78,27.53
Brazil,Potatoes,1994,144802,1761,84312.78,20.77
Brazil,Potatoes,1994,144802,1761,84312.78,26.9
Brazil,Potatoes,1994,144802,1761,84312.78,19.15
Brazil,Potatoes,1994,144802,1761,84312.78,26.05
Brazil,Potatoes,1994,144802,1761,84312.78,24.71
Brazil,Potatoes,1994,144802,1761,84312.78,25.42
Brazil,Potatoes,1995,152304,1761,92967.22,22.07
Brazil,Potatoes,1995,152304,1761,92967.22,20.61
Brazil,Potatoes,1995,152304,1761,92967.22,18.27
Brazil,Potatoes,1995,152304,1761,92967.22,18.27
Brazil,Potatoes,1995,152304,1761,92967.22,27.52
Brazil,Potatoes,1995,152304,1761,92967.22,20.61
Brazil,Potatoes,1995,152304,1761,92967.22,27.34
Brazil,Potatoes,1995,152304,1761,92967.22,18.89
Brazil,Potatoes,1995,152304,1761,92967.22,26.05
Brazil,Potatoes,1995,152304,1761,92967.22,24.77
Brazil,Potatoes,1995,152304,1761,92967.22,25.65
Brazil,Potatoes,1996,146506,1761,101621.67,21.56
Brazil,Potatoes,1996,146506,1761,101621.67,20.18
Brazil,Potatoes,1996,146506,1761,101621.67,17.83
Brazil,Potatoes,1996,146506,1761,101621.67,17.83
Brazil,Potatoes,1996,146506,1761,101621.67,27.6
Brazil,Potatoes,1996,146506,1761,101621.67,20.18
Brazil,Potatoes,1996,146506,1761,101621.67,27.07
Brazil,Potatoes,1996,146506,1761,101621.67,18.63
Brazil,Potatoes,1996,146506,1761,101621.67,25.94
Brazil,Potatoes,1996,146506,1761,101621.67,24.28
Brazil,Potatoes,1996,146506,1761,101621.67,25.45
Brazil,Potatoes,1997,152748,1761,110276.11,21.91
Brazil,Potatoes,1997,152748,1761,110276.11,20.77
Brazil,Potatoes,1997,152748,1761,110276.11,18.36
Brazil,Potatoes,1997,152748,1761,110276.11,18.36
Brazil,Potatoes,1997,152748,1761,110276.11,27.85
Brazil,Potatoes,1997,152748,1761,110276.11,20.77
Brazil,Potatoes,1997,152748,1761,110276.11,27.57
Brazil,Potatoes,1997,152748,1761,110276.11,19.12
Brazil,Potatoes,1997,152748,1761,110276.11,25.96
Brazil,Potatoes,1997,152748,1761,110276.11,24.71
